Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
single table single row,1,0.8333,0.5556,0.6667,0.5000,1.0000,0.5556,0.7143,0.3750,8
single table single row,2,1.0000,0.6667,0.8000,0.6250,1.0000,0.5556,0.7143,0.3750,8
single table single row,3,1.0000,0.6667,0.8000,0.6250,0.8333,0.5556,0.6667,0.3750,8
single table single row,4,1.0000,0.6667,0.8000,0.6250,0.8333,0.5556,0.6667,0.3750,8
single table single row,5,1.0000,0.6667,0.8000,0.6250,0.8333,0.5556,0.6667,0.3750,8
two tables single join,1,0.2143,0.2500,0.2308,0.2500,0.0000,0.0000,0.0000,0.0000,12
two tables single join,2,0.3636,0.3333,0.3478,0.3333,0.0000,0.0000,0.0000,0.0000,12
two tables single join,3,0.3333,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,12
two tables single join,4,0.3333,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,12
two tables single join,5,0.3333,0.3333,0.3333,0.3333,0.0000,0.0000,0.0000,0.0000,12
three tables two join,1,0.1429,0.0714,0.0952,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,2,0.1429,0.0714,0.0952,0.0000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,3,0.2857,0.1429,0.1905,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,4,0.2500,0.1429,0.1818,0.1000,0.0000,0.0000,0.0000,0.0000,10
three tables two join,5,0.2857,0.1429,0.1905,0.1000,0.0000,0.0000,0.0000,0.0000,10
two tables single join multiple rows,1,0.7500,0.4286,0.5455,0.1250,0.2105,0.1143,0.1481,0.0000,8
two tables single join multiple rows,2,0.6400,0.4571,0.5333,0.1250,0.1500,0.0857,0.1091,0.0000,8
two tables single join multiple rows,3,0.6957,0.4571,0.5517,0.1250,0.1304,0.0857,0.1034,0.0000,8
two tables single join multiple rows,4,0.6500,0.3714,0.4727,0.1250,0.1500,0.0857,0.1091,0.0000,8
two tables single join multiple rows,5,0.6500,0.3714,0.4727,0.1250,0.1500,0.0857,0.1091,0.0000,8
single table multiple rows,1,0.7857,0.3667,0.5000,0.4545,0.5000,0.1667,0.2500,0.0000,11
single table multiple rows,2,0.8571,0.4000,0.5455,0.5455,0.4615,0.2000,0.2791,0.0000,11
single table multiple rows,3,0.8667,0.4333,0.5778,0.5455,0.4286,0.2000,0.2727,0.0000,11
single table multiple rows,4,0.8571,0.4000,0.5455,0.5455,0.4615,0.2000,0.2791,0.0000,11
single table multiple rows,5,0.8667,0.4333,0.5778,0.5455,0.4286,0.2000,0.2727,0.0000,11
