Question Type,Iteration,Answer Precision,Answer Recall,Answer F1,Answer Accuracy,Explanation Precision,Explanation Recall,Explanation F1,Explanation Accuracy,Count
three tables two joins,1,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,3,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,4,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,5,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,1.0000,0.7344,0.8468,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,1.0000,0.7188,0.8364,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,1.0000,0.7188,0.8364,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,1.0000,0.7188,0.8364,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,5,1.0000,0.7188,0.8364,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join,1,0.9167,0.5500,0.6875,0.8000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,2,0.9167,0.5500,0.6875,0.8000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,3,0.9167,0.5500,0.6875,0.8000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,4,0.9167,0.5500,0.6875,0.8000,0.0000,0.0000,0.0000,0.0000,10
two tables single join,5,0.9167,0.5500,0.6875,0.8000,0.0000,0.0000,0.0000,0.0000,10
single table single row,1,0.7500,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,8
single table single row,2,0.7500,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,8
single table single row,3,0.7500,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,8
single table single row,4,0.7500,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,8
single table single row,5,0.7500,0.7500,0.7500,0.7500,0.0000,0.0000,0.0000,0.0000,8
single table multiple rows,1,1.0000,0.7255,0.8409,0.6667,0.0000,0.0000,0.0000,0.0000,9
single table multiple rows,2,1.0000,0.7255,0.8409,0.6667,0.0000,0.0000,0.0000,0.0000,9
single table multiple rows,3,1.0000,0.7255,0.8409,0.6667,0.0000,0.0000,0.0000,0.0000,9
single table multiple rows,4,1.0000,0.7255,0.8409,0.6667,0.0000,0.0000,0.0000,0.0000,9
single table multiple rows,5,1.0000,0.7255,0.8409,0.6667,0.0000,0.0000,0.0000,0.0000,9
three tables two joins,1,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,2,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,3,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,4,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
three tables two joins,5,0.8000,0.4651,0.5882,0.4545,0.0000,0.0000,0.0000,0.0000,11
two tables single join multiple rows,1,1.0000,0.7344,0.8468,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,2,1.0000,0.7188,0.8364,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,3,1.0000,0.7188,0.8364,0.3750,0.0000,0.0000,0.0000,0.0000,8
two tables single join multiple rows,4,1.0000,0.7188,0.8364,0.3750,0.0000,0.0000,0.0000,0.0000,8
